Cohort,Window,Variable,N,PRE,POST,Delta,CI95,p_ttest,p_wilcox
Arruda,60M,eGFR_indexed,133,110.27 ± 18.31,107.13 ± 15.26,-3.15,"[-5.42, -0.87]",0.0077,0.0034
Arruda,60M,eGFR_NI,0,—,—,—,—,—,—
Arruda,60M,BSA,0,—,—,—,—,—,—
Arruda,60M,Acido_Urico,139,5.94 ± 1.50,10.62 ± 71.06,4.68,"[-7.13, 16.49]",0.4387,3.00e-20
Galvao,3M,Creatinina,332,0.73 ± 0.14,0.68 ± 0.12,-0.05,"[-0.06, -0.04]",1.35e-20,2.76e-19
Galvao,3M,eGFR_indexed,332,108.98 ± 13.34,113.49 ± 10.87,4.51,"[3.48, 5.54]",3.70e-16,5.38e-15
Galvao,3M,eGFR_NI,89,131.83 ± 18.79,125.06 ± 16.27,-6.77,"[-9.13, -4.40]",2.30e-07,2.05e-06
Galvao,3M,BSA,297,2.11 ± 0.20,1.94 ± 0.20,-0.17,"[-0.18, -0.16]",4.15e-126,2.21e-50
Galvao,3M,Acido_Urico,229,5.67 ± 1.33,5.16 ± 1.41,-0.51,"[-0.66, -0.36]",1.95e-10,1.92e-13
Galvao,6M,Creatinina,311,0.73 ± 0.14,0.70 ± 0.13,-0.03,"[-0.04, -0.02]",4.25e-09,1.11e-08
Galvao,6M,eGFR_indexed,209,108.37 ± 13.45,111.41 ± 11.78,3.04,"[1.68, 4.41]",2.00e-05,1.34e-04
Galvao,6M,eGFR_NI,70,132.36 ± 19.53,119.04 ± 15.26,-13.31,"[-16.53, -10.10]",1.22e-11,1.69e-09
Galvao,6M,BSA,263,2.10 ± 0.19,1.85 ± 0.17,-0.25,"[-0.26, -0.24]",6.89e-134,7.38e-45
Galvao,6M,Acido_Urico,203,5.64 ± 1.25,4.70 ± 1.03,-0.94,"[-1.08, -0.80]",1.50e-29,3.97e-24
Galvao,12M,Creatinina,283,0.73 ± 0.14,0.69 ± 0.13,-0.04,"[-0.05, -0.03]",1.66e-11,9.74e-11
Galvao,12M,eGFR_indexed,283,108.46 ± 13.96,111.26 ± 11.54,2.80,"[1.74, 3.86]",3.82e-07,3.44e-06
Galvao,12M,eGFR_NI,96,131.73 ± 21.11,113.04 ± 16.81,-18.70,"[-20.92, -16.47]",1.41e-29,7.72e-17
Galvao,12M,BSA,269,2.11 ± 0.18,1.78 ± 0.18,-0.33,"[-0.34, -0.32]",6.18e-152,7.43e-46
Galvao,12M,Acido_Urico,191,5.76 ± 1.55,4.39 ± 1.03,-1.37,"[-1.53, -1.21]",2.00e-39,1.20e-30
